X,Y,Z,Speed_kmh
1326.3630,-931.6708,36.8437,50.0
1314.7731,-928.8626,38.0831,51.5
1302.7012,-928.0623,39.3388,53.2
1290.5867,-927.4423,40.7994,51.2
1278.0042,-927.0231,42.0337,55.7
1264.3529,-928.1686,42.3958,57.5
1249.5010,-930.4717,42.5649,65.3
1241.5143,-931.5432,42.5236,68.2
1233.2375,-932.6314,42.5045,75.1
1224.6587,-933.7651,42.5820,77.3
1215.7864,-934.9437,42.6621,74.2
1206.5955,-936.1618,42.7329,80.2
1197.1005,-937.4184,42.7407,83.3
1187.3613,-938.7078,42.7510,82.0
1177.3695,-940.0283,42.7852,81.1
1168.0640,-941.1295,42.8576,82.7
1158.3091,-942.1984,42.9186,85.8
1148.6301,-942.8588,42.7778,84.6
1138.3151,-943.4473,42.6396,86.9
1128.5052,-944.0630,42.6476,85.8
1118.3221,-944.9931,42.6632,89.4
1108.9994,-945.8677,42.6656,87.0
1099.3933,-946.7512,42.6389,81.4
1089.5089,-947.6724,42.6050,87.5
1079.5659,-948.6150,42.6101,86.9
1069.5765,-949.5713,42.7419,84.0
1059.9950,-950.4702,42.7501,78.3
1049.9971,-951.7542,42.6598,83.4
1040.5811,-953.0610,42.5795,83.5
1031.0712,-954.3747,42.4280,80.6
1021.7217,-955.6482,42.2646,81.7
1012.1682,-956.9536,41.8966,80.4
1003.3809,-958.1678,41.4271,82.9
994.8840,-959.2991,40.9751,74.0
986.4756,-960.2194,40.1639,71.4
978.2901,-960.9650,39.7232,72.5
969.7127,-961.7245,39.3665,73.2
954.2677,-963.3284,38.8909,68.8
939.9946,-964.1042,38.4864,63.4
927.8133,-964.2954,38.2905,52.7
917.9394,-964.6282,38.3006,42.3
908.0894,-964.9710,38.1844,44.5
899.4249,-965.7136,37.6510,34.9
891.7896,-968.5478,37.1273,13.5
890.6521,-976.6104,37.2372,17.2
900.5249,-981.5013,37.4224,23.5
909.6044,-979.6824,37.8303,42.0
920.8098,-976.4554,38.1178,49.2
933.6857,-973.2823,38.2836,55.1
947.5129,-971.3025,38.5301,58.4
961.9443,-969.2820,38.8728,59.9
976.8970,-967.1888,39.4159,65.0
992.2156,-965.0609,40.4381,66.4
1007.6595,-962.9083,41.6093,65.2
1023.3069,-960.7128,42.3065,63.7
1031.2410,-959.6005,42.4173,66.2
1039.2545,-958.4800,42.5509,66.8
1047.3724,-957.3564,42.6147,67.1
1055.6183,-956.4530,42.6123,71.2
1064.0012,-955.6949,42.6041,71.6
1072.4945,-954.9175,42.5847,75.1
1081.0852,-953.9645,42.5742,69.9
1089.7692,-952.9367,42.5480,76.0
1098.5646,-951.8580,42.5753,77.0
1107.4436,-950.7404,42.6002,76.8
1116.4451,-949.7950,42.6132,76.1
1125.5404,-948.8995,42.6027,81.6
1134.7357,-948.0052,42.5989,79.6
1144.0271,-947.0930,42.6647,75.4
1153.3949,-946.1679,42.8097,77.3
1162.8264,-945.2081,42.9982,79.0
1172.3125,-944.0585,42.8632,81.5
1181.8782,-942.7343,42.7383,88.2
1191.5259,-941.2975,42.7458,81.6
1201.2218,-939.5900,42.7351,86.2
1211.0027,-937.7561,42.7108,88.9
1220.8730,-936.0188,42.6192,86.8
1230.8589,-934.4670,42.5299,85.6
1240.9890,-933.2872,42.5086,85.3
1251.2163,-932.1363,42.5655,84.6
1261.4496,-930.9747,42.5394,87.7
1271.6868,-930.0392,42.1917,89.7
1281.9609,-929.2858,41.8444,88.1
1292.2009,-928.5995,40.6731,90.8
1302.3268,-928.1073,39.3784,91.9
1311.3193,-927.7092,38.4128,81.1
1325.5787,-927.7998,36.9701,64.1
1338.7422,-928.3450,35.5214,55.6
1350.6293,-931.5399,34.5663,56.9
1357.9342,-939.8459,34.1611,48.6
1360.1962,-950.3810,34.1804,45.3
1359.4854,-962.0338,33.7771,51.4
1357.0795,-974.6465,31.8708,55.5
1355.5292,-989.0039,29.1969,61.7
1354.3109,-1005.0604,27.2411,72.5
1353.8204,-1013.5440,26.6633,71.6
1353.3044,-1022.2317,26.4979,80.4
1352.7828,-1031.0706,26.2499,76.3
1352.2913,-1039.9802,26.1654,76.4
1351.7490,-1048.9312,26.5412,84.3
1351.2064,-1057.9507,26.6458,81.1
1350.6826,-1067.0377,25.9883,80.0
1349.9406,-1076.2125,25.0584,84.0
1348.7452,-1085.5931,24.3530,80.8
1347.4713,-1095.2725,23.9279,93.9
1346.2211,-1104.9618,23.7926,97.3
1345.0958,-1114.8280,23.7000,113.3
1344.5383,-1124.7778,23.6692,122.9
1344.0710,-1134.9669,23.6487,109.1
1343.5959,-1145.1577,23.6637,98.9
1343.1050,-1155.3843,23.6771,95.6
1342.9840,-1165.6758,23.7542,98.3
1343.0834,-1175.9703,23.4735,97.2
1343.1912,-1186.2023,21.8715,94.5
1343.2291,-1196.4729,19.4807,101.2
1343.1586,-1207.0352,17.4818,103.8
1343.1298,-1217.7930,15.5260,100.4
1343.1317,-1228.7385,13.8074,100.0
1343.0951,-1239.7383,13.5128,108.0
1343.0385,-1250.6696,13.3814,91.8
1343.0232,-1261.4537,13.3699,112.6
1343.0139,-1272.0972,13.3737,109.0
1342.9941,-1282.6305,13.3898,111.3
1342.9852,-1293.0366,13.6316,108.1
1342.9432,-1303.3250,13.5229,108.5
1342.9004,-1313.6365,13.3864,102.5
1342.8776,-1323.9227,13.3702,108.6
1342.8547,-1334.2081,13.3744,108.8
1342.8259,-1344.5031,13.3744,100.3
1342.7970,-1354.7755,13.3744,100.0
1342.7687,-1365.0695,13.3880,98.2
1342.7406,-1375.3608,13.4555,99.1
1342.7119,-1385.7070,13.5028,106.3
1342.6833,-1396.0214,13.3588,102.7
1342.6393,-1406.3108,13.3035,110.0
1342.0890,-1416.6129,13.3728,96.0
1341.2764,-1427.4408,13.3752,106.0
1339.7886,-1437.6305,13.3740,99.9
1337.8176,-1447.7415,13.3742,92.9
1334.9988,-1457.6450,13.3738,95.4
1332.1155,-1467.5248,13.3742,93.4
1330.0543,-1477.6095,13.3734,91.6
1327.8044,-1487.6499,13.3743,101.0
1325.1776,-1497.6041,13.3740,94.8
1322.6389,-1507.6910,13.5263,98.8
1320.3309,-1517.6959,13.4787,93.3
1318.5579,-1527.5558,13.3706,85.2
1317.2585,-1537.1462,13.3727,87.1
1316.4745,-1546.7145,13.3737,89.6
1315.9977,-1556.2653,13.3737,84.2
1315.5178,-1565.9133,13.3745,87.8
1315.0153,-1575.5657,13.3748,93.3
1314.5071,-1585.3380,13.3748,93.5
1314.0024,-1595.1731,13.3748,102.3
1313.5042,-1605.0629,13.3747,92.1
1313.2206,-1614.6754,13.3730,90.9
1312.9945,-1623.9039,13.3724,88.0
1312.7753,-1632.7814,13.3725,85.4
1312.5563,-1641.4519,13.3731,81.0
1312.3464,-1649.7605,13.3725,79.5
1311.9648,-1664.9814,13.3701,73.0
1311.6929,-1675.8142,13.3659,50.7
1311.4822,-1684.2062,13.3724,27.7
1311.2246,-1694.4515,13.3768,34.0
1311.2877,-1703.6305,13.3755,42.8
1311.7246,-1714.1166,13.3753,51.7
1315.4982,-1722.8539,13.3690,42.3
1322.6095,-1728.2122,13.4291,39.1
1331.3442,-1731.6754,13.3713,43.1
1341.4059,-1733.0001,13.3755,43.0
1352.8915,-1733.7211,13.3753,50.3
