X,Y,Z,Speed_kmh
1366.6672,-952.6581,34.1828,61.8
1363.3597,-962.0974,33.8124,55.8
1360.6947,-971.7137,32.5448,65.5
1358.6228,-983.7633,30.1725,78.8
1356.2466,-997.7521,28.0683,89.0
1354.9901,-1005.6187,27.1967,93.3
1352.8326,-1021.8808,26.5014,97.8
1352.0378,-1030.5454,26.2955,98.9
1351.5372,-1039.0370,26.1870,95.7
1351.0199,-1047.4150,26.4701,96.3
1350.4845,-1055.5562,26.6459,97.2
1349.8632,-1064.1455,26.2564,98.8
1349.0143,-1072.7819,25.3832,101.1
1348.0857,-1081.7628,24.5462,104.2
1347.1942,-1090.4989,24.1327,106.5
1346.2751,-1099.5742,23.8369,108.3
1345.3219,-1108.9332,23.7516,109.7
1344.3947,-1118.6287,23.6887,111.1
1343.7587,-1127.9507,23.6585,112.3
1343.1313,-1137.8101,23.6527,113.4
1342.6948,-1147.8170,23.6644,114.6
1342.3107,-1157.5293,23.6751,115.6
1342.0188,-1167.5875,23.7496,116.2
1341.8252,-1177.5428,23.3025,113.2
1341.6337,-1187.0309,21.3716,115.6
1341.4205,-1196.5037,19.5054,117.1
1341.3489,-1206.7690,17.5378,122.1
1341.2683,-1217.1093,15.6252,124.0
1341.2915,-1227.5459,13.9401,122.6
1341.3608,-1237.4200,13.4930,121.0
1341.5062,-1248.1289,13.4174,122.3
1341.5792,-1258.8307,13.3681,122.7
1341.6564,-1269.0406,13.3744,122.7
1341.9719,-1279.8510,13.3743,122.7
1342.2947,-1290.0898,13.5795,122.6
1342.3202,-1300.2950,13.5717,121.4
1342.1858,-1310.7806,13.4200,119.3
1342.0195,-1321.2985,13.3666,120.4
1341.8662,-1331.6010,13.3745,119.4
1341.7220,-1341.7939,13.3737,118.6
1341.5713,-1352.2705,13.3747,119.7
1341.5035,-1362.4088,13.3779,116.8
1341.4680,-1372.2738,13.4343,114.1
1341.4342,-1381.8657,13.4955,115.0
1341.3967,-1391.7854,13.4293,111.0
1341.3608,-1401.0642,13.2945,112.4
1341.3225,-1410.9845,13.3417,113.2
1341.2893,-1420.1855,13.3789,108.6
1340.9156,-1429.0292,13.3726,104.1
1339.9863,-1437.9349,13.3725,99.6
1338.9166,-1446.1223,13.3725,95.1
1335.5078,-1461.8458,13.3733,92.6
1330.8143,-1477.0625,13.3733,91.4
1326.6501,-1491.9736,13.3743,94.1
1324.6775,-1500.1515,13.3793,95.5
1322.6217,-1508.2142,13.5038,95.5
1318.9652,-1523.8385,13.3714,90.8
1315.4752,-1537.7994,13.3722,82.7
1313.2708,-1551.1082,13.3721,74.6
1314.1340,-1562.9567,13.3712,65.1
1320.4624,-1571.1527,13.3646,58.0
1330.1917,-1573.9497,13.3411,62.8
1341.3834,-1576.1511,13.3565,71.2
1353.7136,-1579.2865,13.3692,75.7
1366.1903,-1582.9401,13.3664,80.2
1379.8356,-1586.5214,13.3550,84.8
1394.5477,-1589.0707,13.3465,89.1
1409.9590,-1591.2793,13.3472,93.3
1425.6764,-1592.4659,13.3736,95.8
1433.7561,-1592.5259,13.3751,97.2
1442.3508,-1592.4774,13.3747,98.7
1450.5699,-1592.4358,13.3748,100.1
1459.0226,-1592.3920,13.3748,101.4
1468.0101,-1592.3430,13.3748,102.8
1477.0787,-1592.2933,13.3748,104.2
1485.8727,-1592.2458,13.3748,105.4
1494.7239,-1592.1981,13.3748,106.7
1504.1392,-1592.1473,13.3748,108.0
1513.7546,-1592.0964,13.3748,109.2
1522.8693,-1592.1644,13.3748,110.4
1532.1324,-1592.2694,13.3748,111.6
1542.0431,-1592.3821,13.3748,112.8
1551.9070,-1592.4688,13.3748,113.9
1561.5049,-1592.5287,13.3748,115.0
1571.2622,-1592.5885,13.3748,116.1
1580.7524,-1592.6477,13.3748,117.1
1591.1708,-1592.7129,13.3748,118.2
1601.6348,-1592.7781,13.4635,119.0
1611.5942,-1592.8402,13.5478,119.8
1622.2234,-1592.9067,13.5394,120.9
1632.9299,-1592.9739,13.5071,121.9
1643.6583,-1593.0415,13.4155,122.7
1654.3563,-1593.1080,13.3742,122.7
1664.6177,-1593.1711,13.3756,122.6
1675.3990,-1593.2386,13.3742,122.8
1685.8951,-1593.3043,13.3727,122.6
1696.4651,-1593.3998,13.3678,122.8
1706.7437,-1594.1953,13.3586,122.7
1717.4191,-1595.3546,13.3468,122.7
1728.0399,-1597.0143,13.3538,122.7
1738.1095,-1598.9850,13.3709,122.7
1748.1310,-1600.9698,13.3705,122.8
1758.6423,-1603.0352,13.3663,122.7
1768.7318,-1605.0629,13.3622,122.7
1779.1849,-1607.1836,13.3557,122.7
1789.2998,-1608.7638,13.3461,122.7
1799.5752,-1609.7554,13.3421,122.8
1810.3170,-1610.7378,13.3432,122.7
1821.0555,-1611.5873,13.3621,121.9
1831.2053,-1611.7542,13.3714,120.8
1841.7682,-1611.8110,13.3751,121.4
1852.0542,-1611.8043,13.3748,121.1
1862.1055,-1611.7565,13.3730,116.4
1872.0923,-1611.7020,13.3736,115.1
1882.0604,-1611.6472,13.3727,110.3
1891.4106,-1611.5967,13.3724,105.6
1900.5121,-1611.5481,13.3724,101.0
1914.7594,-1611.4709,13.3660,70.3
1926.2040,-1612.4323,13.3719,62.3
1935.3540,-1616.3727,13.3711,56.3
1940.7195,-1624.6847,13.3734,59.3
1942.8521,-1633.8069,13.3717,54.8
1942.2794,-1643.9697,13.3755,63.6
1941.1692,-1655.1974,13.3754,71.4
1940.5985,-1667.7388,13.3747,75.7
1940.6624,-1681.1265,13.3750,80.5
1940.7128,-1694.7933,13.3751,84.9
1940.8374,-1708.8352,13.3729,81.1
1941.2145,-1722.8894,13.3731,78.3
1942.1648,-1736.1741,13.3727,74.5
1943.8932,-1749.1105,13.3748,78.8
1947.3247,-1762.5260,13.4052,83.0
1952.7526,-1776.0573,13.5387,86.9
